_id,StrategyID,Identifier,Pos,Symbol,Series,Option,Strike,ExpiryDT,ExchangeInstrumentID,EnTotalQty,EnQty,EnPendingQty,EnOrderSide,EnOrderId,EnStatus,EnDTime,SellPrice,BuyPrice,ExTotalQty,ExQty,ExPendingQty,ExDTime,ExStatus,ExOrderId,ExOrderSide,RemainingQty,LotSize,MaxHigh,StockInvestment,StopLoss,FullyExecuted,LTP,CapitalUsed,Profit,UnrealisedMTM
686b89b09f148ef1717d8224,CST0002,S4450 AlgoABC CST0002 BANCOINDIA CashManthanP,open,BANCOINDIA,EQ,,0,,13880,[1],[1],[0],['BUY'],['NYMZX0000477'],['EXECUTED'],['2025-07-07 11:29:05'],[],[658.2],[],[],[],[],[],[],[],1,1,658.2,658.2,657.2,True,100.0,658.2,-558.2,-558.2
686b89b09f148ef1717d8225,CST0002,S4450 AlgoABC CST0002 GALLANTT CashManthanP,open,GALLANTT,EQ,,0,,13337,[1],[1],[0],['BUY'],['NYMZX0000577'],['EXECUTED'],['2025-07-07 11:28:43'],[],[557.6],[],[],[],[],[],[],[],1,1,557.6,557.6,556.6,True,107.0,557.6,-450.6,-450.6
